,dataset,algorithm,n_clusters,init,n_init,max_iter,silhouette_score,adjusted_rand_score,f1_score,execution_time,linkage,metric
117,wine,AgglomerativeClustering,3,,,,-0.32880972297536026,-0.00381934509398756,0.1862348178137652,0.020983219146728516,single,manhattan
118,wine,AgglomerativeClustering,3,,,,-0.32880972297536026,-0.00381934509398756,0.1862348178137652,0.02000284194946289,average,euclidean
119,wine,AgglomerativeClustering,3,,,,-0.22974614319939538,0.4363836560895574,0.5229700854700855,0.020992517471313477,average,manhattan
120,wine,AgglomerativeClustering,3,,,,0.15350845415940764,0.8101984932408013,0.9309907264452719,0.021007061004638672,complete,euclidean
121,wine,AgglomerativeClustering,3,,,,0.16575269836340226,0.837371015547774,0.9435259650002324,0.018009185791015625,complete,manhattan
122,wine,AgglomerativeClustering,4,,,,-0.6206536571843563,-0.00833643249031321,0.13524590163934427,0.022005796432495117,single,euclidean
123,wine,AgglomerativeClustering,4,,,,-0.4788925978795601,-0.005567074338188896,0.13821138211382114,0.02100205421447754,single,manhattan
124,wine,AgglomerativeClustering,4,,,,-0.30155700298017457,0.454402932137837,0.402572215984485,0.016994953155517578,average,euclidean
125,wine,AgglomerativeClustering,4,,,,-0.3474342858085119,0.4334442249863341,0.3904550946435763,0.01999974250793457,average,manhattan
126,wine,AgglomerativeClustering,4,,,,0.05974753816878277,0.8214459503186963,0.7001369842278933,0.02202320098876953,complete,euclidean
127,wine,AgglomerativeClustering,4,,,,0.09356586228606188,0.689184067176388,0.6299660232557954,0.0230100154876709,complete,manhattan
128,wine,AgglomerativeClustering,5,,,,-0.6612452074591757,-0.009744057780847176,0.10699588477366255,0.022011756896972656,single,euclidean
129,wine,AgglomerativeClustering,5,,,,-0.7017168599180396,-0.007204211744715499,0.10938775510204082,0.017017126083374023,single,manhattan
130,wine,AgglomerativeClustering,5,,,,-0.2940265713906083,0.4457884413763676,0.3381588015362007,0.02353358268737793,average,euclidean
131,wine,AgglomerativeClustering,5,,,,-0.15619246803678163,0.8211051602615367,0.5628205128205128,0.021526336669921875,average,manhattan
132,wine,AgglomerativeClustering,5,,,,0.05108342664739985,0.8274459434292951,0.5616199892061962,0.021523714065551758,complete,euclidean
133,wine,AgglomerativeClustering,5,,,,-0.06172512007697906,0.6968281165812061,0.5055981629572533,0.016530513763427734,complete,manhattan
134,wine,AgglomerativeClustering,6,,,,-0.7109513254452747,-0.011035018514226185,0.0881542699724518,0.018985748291015625,single,euclidean
135,wine,AgglomerativeClustering,6,,,,-0.7109513254452747,-0.011035018514226185,0.0881542699724518,0.016989469528198242,single,manhattan
136,wine,AgglomerativeClustering,6,,,,-0.4265078438625492,0.4362944540852922,0.28857457174288853,0.019991397857666016,average,euclidean
137,wine,AgglomerativeClustering,6,,,,-0.2551487158527933,0.8092444088518341,0.46549773755656104,0.016995906829833984,average,manhattan
138,wine,AgglomerativeClustering,6,,,,-0.03404528185367141,0.8157602765854675,0.463900923219017,0.017996788024902344,complete,euclidean
139,wine,AgglomerativeClustering,6,,,,-0.22949790695086228,0.6836556176476968,0.41756982018910205,0.015988826751708984,complete,manhattan
140,iris,Ward,2,,,,0.6863930543445408,0.5681159420289855,0.5555555555555555,0.01699972152709961,ward,euclidean
141,iris,Ward,3,,,,0.5473331031975502,0.7195837484778036,0.8832938591974737,0.01600337028503418,ward,euclidean
142,iris,Ward,4,,,,0.4724889753441359,0.6454234140112601,0.6187951807228916,0.013001441955566406,ward,euclidean
143,iris,Ward,5,,,,0.3422768612601816,0.4999186811562061,0.4481225643313997,0.01601552963256836,ward,euclidean
144,iris,Ward,6,,,,0.32184953090204743,0.4363200443368152,0.3427572016460905,0.01400613784790039,ward,euclidean
145,wine,Ward,2,,,,-0.01995028146829496,0.4847385885049859,0.5576863911393702,0.011011362075805664,ward,euclidean
146,wine,Ward,3,,,,0.1914657607128426,0.9310001175059304,0.9780604811132806,0.013998985290527344,ward,euclidean
147,wine,Ward,4,,,,0.10167484800840475,0.7697432844874517,0.6786218023902753,0.016005277633666992,ward,euclidean
148,wine,Ward,5,,,,0.04167676895193962,0.6837934061868676,0.4938145176032561,0.013996124267578125,ward,euclidean
149,wine,Ward,6,,,,0.01898055990854086,0.6550927069671628,0.4023639237169245,0.012000083923339844,ward,euclidean
